iter	Passed	Remaining
0	1	137
1	2	125
2	3	125
3	4	118
4	6	118
5	7	119
6	8	117
7	10	117
8	11	115
9	12	113
10	13	112
11	15	110
12	16	108
13	17	107
14	18	106
15	19	104
16	21	105
17	22	103
18	23	101
19	24	99
20	25	97
21	26	95
22	27	92
23	28	90
24	29	88
25	30	86
26	31	85
27	32	83
28	33	81
29	34	80
30	35	78
31	36	77
32	37	75
33	38	74
34	39	72
35	39	71
36	40	69
37	41	68
38	42	66
39	43	65
40	44	64
41	44	61
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	49
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
