iter	Passed	Remaining
0	231	231284
1	232	116217
2	236	78542
3	244	60829
4	246	49036
5	247	41044
6	257	36511
7	264	32751
8	266	29397
9	270	26799
10	278	25066
11	281	23183
12	323	24556
13	332	23414
14	337	22191
15	360	22187
16	374	21641
17	378	20640
18	382	19735
19	389	19066
20	392	18281
21	397	17667
22	402	17108
23	406	16546
24	414	16171
25	417	15643
26	420	15141
27	422	14656
28	428	14342
29	436	14103
30	444	13903
31	449	13611
32	459	13473
33	462	13136
34	464	12813
35	466	12493
36	478	12444
37	479	12145
38	481	11876
39	487	11698
40	493	11544
41	496	11322
42	509	11347
43	520	11310
44	524	11128
45	526	10926
46	533	10823
47	543	10786
48	553	10747
49	555	10560
50	558	10390
51	561	10227
52	571	10204
53	574	10063
54	585	10064
55	588	9919
56	589	9760
57	604	9824
58	618	9867
59	621	9735
60	622	9586
61	630	9534
62	634	9437
63	636	9309
64	637	9175
65	643	9111
66	648	9031
67	651	8927
68	662	8939
69	664	8833
70	667	8732
71	676	8717
72	678	8616
73	682	8534
74	683	8433
75	687	8363
76	692	8302
77	697	8242
78	704	8217
79	711	8187
80	754	8557
81	764	8564
82	767	8476
83	777	8478
84	779	8391
85	781	8306
86	786	8257
87	792	8210
88	794	8133
89	796	8050
90	797	7969
91	799	7890
92	806	7863
93	809	7804
94	811	7728
95	813	7657
96	814	7584
97	825	7593
98	829	7546
99	831	7487
100	840	7483
101	842	7414
102	858	7474
103	860	7416
104	867	7391
105	871	7351
106	874	7296
107	878	7253
108	880	7199
109	882	7137
110	893	7156
111	906	7186
112	915	7186
113	921	7164
114	929	7154
115	937	7147
116	943	7122
117	948	7087
118	952	7049
119	954	6998
120	964	7006
121	967	6959
122	968	6905
123	972	6868
124	977	6841
125	979	6794
126	980	6741
127	983	6697
128	990	6691
129	995	6663
130	997	6618
131	1000	6576
132	1010	6587
133	1013	6549
134	1018	6523
135	1023	6504
136	1025	6459
137	1028	6421
138	1031	6389
139	1034	6353
140	1035	6308
141	1036	6261
142	1038	6223
143	1040	6184
144	1044	6157
145	1052	6155
146	1053	6114
147	1054	6072
148	1057	6037
149	1061	6015
150	1064	5985
151	1066	5950
152	1069	5921
153	1071	5884
154	1077	5876
155	1079	5842
156	1081	5805
157	1082	5768
158	1084	5734
159	1085	5699
160	1089	5679
161	1093	5655
162	1095	5624
163	1097	5593
164	1099	5562
165	1101	5535
166	1105	5514
167	1108	5489
168	1109	5456
169	1110	5423
170	1112	5394
171	1118	5383
172	1121	5362
173	1123	5333
174	1124	5303
175	1127	5277
176	1129	5250
177	1134	5240
178	1136	5211
179	1137	5182
180	1138	5152
181	1140	5125
182	1144	5111
183	1149	5095
184	1150	5067
185	1151	5039
186	1153	5013
187	1154	4986
188	1160	4979
189	1162	4957
190	1164	4930
191	1165	4902
192	1166	4875
